subjid,font,letter,label,user_label
fonts_01,arc,a,0,0
fonts_01,arc,b,0,0
fonts_01,arc,c,0,0
fonts_01,arc,d,0,0
fonts_01,arc,e,0,0
fonts_01,arc,f,0,0
fonts_01,atl,a,1,0
fonts_01,atl,b,1,1
fonts_01,atl,c,1,1
fonts_01,atl,d,1,1
fonts_01,atl,e,1,0
fonts_01,atl,f,1,1
fonts_01,dragon,a,2,2
fonts_01,dragon,b,2,2
fonts_01,dragon,c,2,2
fonts_01,dragon,d,2,2
fonts_01,dragon,e,2,2
fonts_01,dragon,f,2,2
fonts_01,futurama,a,3,3
fonts_01,futurama,b,3,2
fonts_01,futurama,c,3,3
fonts_01,futurama,d,3,3
fonts_01,futurama,e,3,3
fonts_01,futurama,f,3,3
fonts_01,hymmnos,a,4,4
fonts_01,hymmnos,b,4,3
fonts_01,hymmnos,c,4,4
fonts_01,hymmnos,d,4,4
fonts_01,hymmnos,e,4,4
fonts_01,hymmnos,f,4,4
fonts_01,ulog,a,5,5
fonts_01,ulog,b,5,5
fonts_01,ulog,c,5,5
fonts_01,ulog,d,5,5
fonts_01,ulog,e,5,5
fonts_01,ulog,f,5,5
fonts_02,arc,a,0,0
fonts_02,arc,b,0,0
fonts_02,arc,c,0,0
fonts_02,arc,d,0,0
fonts_02,arc,e,0,0
fonts_02,arc,f,0,2
fonts_02,atl,a,1,0
fonts_02,atl,b,1,1
fonts_02,atl,c,1,1
fonts_02,atl,d,1,0
fonts_02,atl,e,1,0
fonts_02,atl,f,1,1
fonts_02,dragon,a,2,2
fonts_02,dragon,b,2,2
fonts_02,dragon,c,2,2
fonts_02,dragon,d,2,2
fonts_02,dragon,e,2,2
fonts_02,dragon,f,2,2
fonts_02,futurama,a,3,3
fonts_02,futurama,b,3,2
fonts_02,futurama,c,3,3
fonts_02,futurama,d,3,3
fonts_02,futurama,e,3,3
fonts_02,futurama,f,3,3
fonts_02,hymmnos,a,4,4
fonts_02,hymmnos,b,4,3
fonts_02,hymmnos,c,4,4
