no	synset_id	name	description	synonyms	synonyms_extra
1	n02672831	accordion	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	organ	
2	n02691156	airplane	an aircraft that has a fixed wing and is powered by propellers or jets	plane, jet, jet plane, jet airplane, airplane-747	
3	n01698434	alligator	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	crocodile, lizard	
4	n02709367	anchor	a mechanical device that prevents a vessel from moving	ship's anchor	
5	n02219486	ant	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	insect, spider, bug	
6	n07739125	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	fruit	
7	n05563770	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	left arm, hand	
8	n06818121	arrow	a mark to indicate a direction or relation	one-way sign	
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	avocado, pineapple, bud, brussel, sprout, squash	
10	n02747802	ashtray	a receptacle for the ash from smokers' cigars or cigarettes		
11	n07719213	asparagus	edible young shoots of the asparagus plant	asparagus spear, branch of willows, twig, pine tree, cauliflower, branch	
12	n02764044	axe	an edge tool with a heavy bladed head mounted across a handle	hatchet, hammer	
13	n02766534	baby carriage	a small vehicle with four wheels in which a baby or child is pushed around	carriage	stroller, pram
14	n02778669	ball	round object that is hit or thrown or kicked in games	beach ball, top	
15	n02782329	balloon	small thin inflatable rubber bag with narrow neck		
16	n07753592	banana	elongated crescent-shaped yellow fruit with soft sweet flesh		
17	n02793495	barn	an outlying farm building for storing grain or animal feed and housing farm animals	barn and silo, farm, barn house, farmhouse	
18	n02795169	barrel	a cylindrical container that holds liquids		
19	n02799175	baseball bat	an implement used in baseball by the batter	bat	
20	n02801938	basket	a container that is usually woven and has handles	picnic basket, lunch basket, wicker basket	
21	n02131653	bear	massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws	polar bear	
22	n02818832	bed	a piece of furniture that provides a place to sleep		
23	n02206856	bee	any of numerous hairy-bodied insects including social and solitary species	fly, insect, bug, bumble bee, mosquito	
24	n02164464	beetle	insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings	insect, bug, cockroach, roach, cricket, ant, dico	
25	n02824448	bell	a hollow device made of metal that makes a ringing sound when struck		
26	n02827606	belt	a band to tie or buckle around the body (usually at the waist)	collar	
27	n02834778	bicycle	a wheeled vehicle that has two wheels and is moved by foot pedals	bike	
28	n01503061	bird	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	sparrow, chickadee, baby chick	
29	n02854926	blouse	a top worn by women	shirt, jacket, sweater, coat, ladies jacket, stylish shirt	
30	n02870092	book	physical objects consisting of a number of pages bound together		
31	n02872752	boot	footwear that covers the whole foot and lower leg	shoe, rubber boot, half-boot	
32	n02876657	bottle	a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped	wine bottle	
33	n02880308	bow	a decorative interlacing of ribbons	ribbon, bowtie, tie, ribbon bow	
34	n02881193	bowl	a round vessel that is open at the top; used chiefly for holding food or liquids;	dish	
35	n02883344	box	a (usually rectangular) container; may have a lid	cube, shoe box, index card box, cardboard box, index file box	
36	n07679356	bread	food made from dough of flour or meal and usually raised with yeast or baking powder and then baked	loaf of bread, slice of bread, loaf of bread and slice	
37	n02906734	broom	a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle		
38	n02908217	brush	an implement that has hairs or bristles firmly set into a handle	hair brush, shoe brush, lint brush	
39	n02924116	bus	a vehicle carrying many passengers; used for public transport		
40	n02274259	butterfly	diurnal insect typically having a slender body with knobbed antennae and broad colorful wings		
41	n02928608	button	a round fastener sewn to shirts and coats etc to fit through buttonholes	wheel	
42	n07628870	cake	baked goods made from or based on a mixture of flour,  sugar,  eggs,  and fat	layer cake, piece of cake, three-layer cake	
43	n02437136	camel	cud-chewing mammal used as a draft or saddle animal in desert regions		
44	n02948072	candle	stick of wax with a wick in the middle		
45	n02950256	cannon	a large artillery gun that is usually on wheels	war gun, gun, cannon (civil war)	
